left	left_label	right	right_label	left_match_type	right_match_type	left_match_val	right_match_val	score	left_simscore	right_simscore	reciprocal_score	conditional_pr_equiv	equiv_clique_size
http://purl.obolibrary.org/obo/ECTO_0001563	exposure to antimony	http://purl.obolibrary.org/obo/MRE_0000108	Exposure to antimony	label	label	exposure to antimony	Exposure to antimony	66.66666666666666	0.3333333333333333	0.5	0	0.64	3
http://purl.obolibrary.org/obo/ECTO_0001564	exposure to barium	http://purl.obolibrary.org/obo/MRE_0000110	Exposure to barium	label	label	exposure to barium	Exposure to barium	100.0	0.3333333333333333	1.0	0	0.6666666666666666	3
http://purl.obolibrary.org/obo/ECTO_0001565	exposure to beryllium	http://purl.obolibrary.org/obo/MRE_0000111	Exposure to beryllium	label	label	exposure to beryllium	Exposure to beryllium	100.0	0.3333333333333333	1.0	0	0.6666666666666666	3
http://purl.obolibrary.org/obo/ECTO_0001566	exposure to cadmium	http://purl.obolibrary.org/obo/MRE_0000112	Exposure to cadmium	label	label	exposure to cadmium	Exposure to cadmium	66.66666666666666	0.5	0.3333333333333333	0	0.36855036855036855	4
http://purl.obolibrary.org/obo/ECTO_0001567	exposure to cobalt	http://purl.obolibrary.org/obo/MRE_0000114	Exposure to cobalt	label	label	exposure to cobalt	Exposure to cobalt	100.0	1.0	0.3333333333333333	0	0.4668049792531121	4
http://purl.obolibrary.org/obo/ECTO_0001568	exposure to copper	http://purl.obolibrary.org/obo/MRE_0000115	Exposure to copper	label	label	exposure to copper	Exposure to copper	66.66666666666666	0.3333333333333333	0.5	0	0.5254515599343186	3
http://purl.obolibrary.org/obo/ECTO_0001569	exposure to lead	http://purl.obolibrary.org/obo/MRE_0000116	Exposure to lead	label	label	exposure to lead	Exposure to lead	66.66666666666666	0.5	0.3333333333333333	0	0.37691401648998824	4
http://purl.obolibrary.org/obo/ECTO_0001570	exposure to manganese	http://purl.obolibrary.org/obo/MRE_0000117	Exposure to manganese	label	label	exposure to manganese	Exposure to manganese	66.66666666666666	0.5	0.3333333333333333	0	0.37691401648998824	4
http://purl.obolibrary.org/obo/ECTO_0001571	exposure to mercury	http://purl.obolibrary.org/obo/MRE_0000118	Exposure to mercury	label	label	exposure to mercury	Exposure to mercury	55.55555555555555	0.3333333333333333	0.3333333333333333	2	0.4799040191961608	3
http://purl.obolibrary.org/obo/ECTO_0001572	exposure to molybdenum	http://purl.obolibrary.org/obo/MRE_0000119	Exposure to molybdenum	label	label	exposure to molybdenum	Exposure to molybdenum	100.0	0.3333333333333333	1.0	4	1.0	2
